"Time","X","Y","X Velocity","Y Velocity"
2.442,0.3007,0.2176,-0.853,0.552
2.475,0.2735,0.2376,-0.905,0.487
2.508,0.2425,0.2515,-0.973,0.417
2.542,0.2085,0.2667,-1.042,0.313
2.575,0.1723,0.2726,-1.095,0.197
2.608,0.1363,0.2792,-1.162,0.091
2.642,0.09393,0.2794,-1.205,-0.036
2.677,0.05325,0.2778,-1.228,-0.184
2.710,0.01184,0.2661,-1.287,-0.314
2.743,-0.03505,0.2555,-1.279,-0.408
2.777,-0.07466,0.2393,-1.234,-0.510
2.810,-0.1159,0.2209,-1.208,-0.594
2.843,-0.1570,0.2001,-1.139,-0.686
2.877,-0.1929,0.1755,-1.044,-0.784
2.910,-0.2237,0.1468,-1.010,-0.851
2.943,-0.2619,0.1191,-0.936,-0.922
2.977,-0.2891,0.08335,-0.789,-0.936
3.010,-0.3109,0.05744,-0.723,-0.962
3.043,-0.3376,0.01951,-0.646,-0.990
3.077,-0.3575,-0.01109,-0.482,-0.959
3.110,-0.3692,-0.04222,-0.322,-0.977
3.143,-0.3775,-0.07580,-0.192,-0.989
3.177,-0.3825,-0.1127,-0.058,-0.888
3.210,-0.3818,-0.1358,0.083,-0.759
3.243,-0.3757,-0.1587,0.195,-0.743
3.277,-0.3691,-0.1870,0.309,-0.689
3.310,-0.3565,-0.2052,0.456,-0.626
3.343,-0.3367,-0.2285,0.556,-0.561
3.377,-0.3201,-0.2429,0.669,-0.483
3.410,-0.2926,-0.2607,0.789,-0.401
3.443,-0.2658,-0.2711,0.869,-0.273
3.477,-0.2352,-0.2793,0.960,-0.133
3.510,-0.2031,-0.2799,1.068,0.008
3.543,-0.1615,-0.2782,1.111,0.130
3.577,-0.1257,-0.2715,1.071,0.253
3.610,-0.09454,-0.2599,1.137,0.338
3.643,-0.05057,-0.2488,1.224,0.415
3.677,-0.009950,-0.2329,1.238,0.507
3.710,0.03028,-0.2147,1.287,0.594
3.743,0.07823,-0.1941,1.263,0.701
3.777,0.1145,-0.1680,1.231,0.810
3.810,0.1612,-0.1382,1.166,0.867
3.843,0.1934,-0.1110,1.064,0.936
3.877,0.2306,-0.07569,0.993,0.988
3.910,0.2620,-0.04293,0.859,0.984
3.943,0.2877,-0.008715,0.735,0.945
3.977,0.3097,0.01740,0.637,0.965
4.010,0.3303,0.05526,0.538,0.996
4.043,0.3464,0.08667,0.412,0.951
4.077,0.3581,0.1182,0.276,0.908
4.110,0.3653,0.1482,0.130,0.831
4.143,0.3659,0.1735,0.004,0.758
4.177,0.3647,0.1978,-0.102,0.705
4.210,0.3614,0.2217,-0.262,0.620
4.243,0.3469,0.2398,-0.413,0.515
4.277,0.3313,0.2553,-0.497,0.427
4.310,0.3142,0.2691,-0.586,0.321
4.345,0.2910,0.2758,-0.667,0.250
4.378,0.2692,0.2868,-0.769,0.162
4.412,0.2412,0.2878,-0.908,0.031
4.445,0.2067,0.2884,-0.989,-0.095
4.478,0.1743,0.2846,-1.040,-0.301
4.512,0.1370,0.2663,-1.071,-0.449
4.545,0.1026,0.2520,-1.093,-0.522
4.578,0.06480,0.2322,-1.135,-0.599
4.612,0.02711,0.2102,-1.183,-0.632
4.645,-0.01444,0.1924,-1.216,-0.726
4.678,-0.05500,0.1636,-1.214,-0.861
4.712,-0.09667,0.1321,-1.171,-0.925
4.745,-0.1331,0.1010,-1.121,-0.952
4.778,-0.1712,0.06875,-1.072,-0.971
4.812,-0.2047,0.03504,-1.013,-0.964
4.845,-0.2392,0.006194,-0.940,-0.997
4.878,-0.2694,-0.03049,-0.809,-1.044
4.912,-0.2923,-0.06668,-0.698,-1.007
4.945,-0.3156,-0.09914,-0.594,-0.926
4.978,-0.3323,-0.1257,-0.481,-0.899
5.012,-0.3468,-0.1597,-0.385,-0.860
5.045,-0.3588,-0.1858,-0.261,-0.751
5.078,-0.3661,-0.2076,-0.095,-0.677
5.112,-0.3645,-0.2327,0.058,-0.556
5.145,-0.3590,-0.2479,0.129,-0.364
5.178,-0.3578,-0.2515,0.246,-0.304
5.212,-0.3437,-0.2667,0.390,-0.287
5.245,-0.3310,-0.2756,0.514,-0.153
5.278,-0.3092,-0.2754,0.632,-0.052
5.312,-0.2878,-0.2782,0.716,0.036
5.345,-0.2627,-0.2738,0.825,0.143
5.378,-0.2316,-0.2688,0.899,0.253
5.412,-0.2010,-0.2578,0.931,0.385
5.445,-0.1711,-0.2412,0.991,0.470
5.478,-0.1356,-0.2267,1.063,0.557
5.512,-0.09779,-0.2050,1.077,0.662
5.545,-0.06413,-0.1812,1.100,0.736
5.578,-0.02563,-0.1561,1.151,0.813
5.612,0.01238,-0.1274,1.202,0.897
5.645,0.05616,-0.09571,1.207,0.961
