"Time","X","Y","X Velocity","Y Velocity"
1.958,0.2525,0.02817,-0.128,0.695
1.992,0.2491,0.05183,-0.160,0.676
2.025,0.2423,0.07283,-0.194,0.667
2.058,0.2376,0.09809,-0.267,0.616
2.092,0.2256,0.1146,-0.374,0.543
2.125,0.2120,0.1322,-0.464,0.520
2.158,0.1937,0.1504,-0.528,0.470
2.192,0.1768,0.1640,-0.586,0.406
2.225,0.1549,0.1777,-0.649,0.327
2.258,0.1328,0.1866,-0.691,0.231
2.292,0.1092,0.1920,-0.740,0.162
2.325,0.08239,0.1968,-0.759,0.109
2.360,0.05768,0.2008,-0.783,0.024
2.393,0.02982,0.1992,-0.828,-0.083
2.427,0.0005338,0.1947,-0.823,-0.181
2.460,-0.02510,0.1868,-0.814,-0.267
2.493,-0.05334,0.1768,-0.809,-0.346
2.527,-0.07912,0.1630,-0.797,-0.406
2.560,-0.1072,0.1498,-0.762,-0.466
2.593,-0.1311,0.1326,-0.696,-0.540
2.627,-0.1527,0.1132,-0.652,-0.599
2.660,-0.1739,0.09225,-0.625,-0.644
2.693,-0.1944,0.07008,-0.593,-0.680
2.727,-0.2152,0.04673,-0.508,-0.704
2.760,-0.2290,0.02307,-0.401,-0.719
2.793,-0.2413,-0.002995,-0.306,-0.684
2.827,-0.2486,-0.02227,-0.232,-0.653
2.860,-0.2574,-0.04562,-0.146,-0.646
2.893,-0.2590,-0.06595,-0.042,-0.626
2.927,-0.2594,-0.08651,0.043,-0.625
2.960,-0.2564,-0.1084,0.133,-0.601
2.993,-0.2504,-0.1279,0.222,-0.543
3.027,-0.2414,-0.1435,0.305,-0.506
3.060,-0.2308,-0.1616,0.406,-0.459
3.093,-0.2138,-0.1764,0.488,-0.354
3.127,-0.1978,-0.1859,0.557,-0.234
3.160,-0.1756,-0.1894,0.594,-0.178
3.193,-0.1589,-0.1966,0.643,-0.153
3.227,-0.1333,-0.2016,0.705,-0.075
3.260,-0.1095,-0.2027,0.708,0.035
3.293,-0.08809,-0.1989,0.757,0.138
3.327,-0.05904,-0.1928,0.801,0.219
3.360,-0.03253,-0.1841,0.794,0.295
3.393,-0.007135,-0.1726,0.806,0.355
3.427,0.02117,-0.1611,0.815,0.428
3.460,0.04805,-0.1436,0.802,0.488
3.493,0.07450,-0.1277,0.787,0.529
3.527,0.1009,-0.1096,0.757,0.597
3.560,0.1262,-0.08740,0.695,0.653
3.593,0.1472,-0.06560,0.629,0.699
3.627,0.1668,-0.04182,0.592,0.761
3.660,0.1876,-0.01303,0.530,0.767
3.693,0.2034,0.01173,0.434,0.706
3.727,0.2155,0.03261,0.357,0.674
3.760,0.2276,0.05689,0.269,0.638
3.793,0.2342,0.07511,0.166,0.612
3.827,0.2376,0.09611,0.093,0.622
3.860,0.2404,0.1174,0.022,0.606
3.893,0.2390,0.1385,-0.050,0.534
3.927,0.2379,0.1539,-0.145,0.432
3.960,0.2298,0.1667,-0.249,0.346
3.993,0.2189,0.1760,-0.292,0.287
4.028,0.2107,0.1860,-0.354,0.234
4.062,0.1969,0.1936,-0.466,0.138
4.095,0.1779,0.1955,-0.539,0.034
4.128,0.1601,0.1948,-0.587,-0.040
4.162,0.1391,0.1915,-0.639,-0.078
4.195,0.1174,0.1904,-0.689,-0.132
4.228,0.09311,0.1838,-0.735,-0.214
4.262,0.06759,0.1749,-0.755,-0.276
4.295,0.04305,0.1659,-0.777,-0.354
4.328,0.01549,0.1534,-0.787,-0.479
4.362,-0.009974,0.1318,-0.785,-0.549
4.395,-0.03722,0.1151,-0.772,-0.573
4.428,-0.05996,0.09458,-0.790,-0.612
4.462,-0.09103,0.07401,-0.777,-0.647
4.495,-0.1137,0.05146,-0.709,-0.683
4.528,-0.1368,0.02984,-0.675,-0.744
4.562,-0.1593,-0.0004333,-0.624,-0.745
4.595,-0.1782,-0.02193,-0.578,-0.693
4.628,-0.1991,-0.04361,-0.497,-0.707
4.662,-0.2115,-0.06906,-0.407,-0.718
4.695,-0.2248,-0.09451,-0.354,-0.655
4.728,-0.2371,-0.1118,-0.249,-0.608
4.762,-0.2399,-0.1346,-0.177,-0.561
4.795,-0.2493,-0.1507,-0.094,-0.481
4.828,-0.2477,-0.1667,0.026,-0.402
4.862,-0.2459,-0.1762,0.107,-0.349
4.895,-0.2408,-0.1900,0.193,-0.290
4.928,-0.2335,-0.1987,0.283,-0.151
4.962,-0.2215,-0.1998,0.364,-0.018
4.995,-0.2077,-0.1970,0.400,0.039
5.028,-0.1955,-0.1970,0.447,0.083
5.062,-0.1772,-0.1923,0.479,0.144
5.095,-0.1637,-0.1867,0.519,0.190
5.128,-0.1443,-0.1801,0.603,0.253
5.162,-0.1221,-0.1707,0.654,0.336
5.195,-0.1010,-0.1576,0.711,0.419
5.228,-0.07461,-0.1420,0.759,0.478
5.262,-0.04947,-0.1255,0.782,0.524
5.295,-0.02228,-0.1061,0.792,0.548
5.328,0.003555,-0.08957,0.792,0.587
5.362,0.03118,-0.06955,0.773,0.687
5.395,0.05496,-0.04064,0.754,0.712
5.428,0.08197,-0.02068,0.722,0.699
5.462,0.1025,0.002781,0.699,0.751
5.495,0.1286,0.03114,0.671,0.755
5.528,0.1490,0.05585,0.603,0.692
5.562,0.1677,0.07598,0.555,0.652
5.595,0.1858,0.09753,0.504,0.650
5.628,0.2034,0.1213,0.397,0.597
5.662,0.2129,0.1390,0.279,0.503
5.697,0.2206,0.1545,0.210,0.436
5.730,0.2255,0.1671,0.182,0.408
5.763,0.2347,0.1824,0.100,0.356
5.797,0.2352,0.1939,-0.061,0.221
5.830,0.2288,0.1972,-0.177,0.080
5.863,0.2216,0.1977,-0.241,-0.017
5.897,0.2122,0.1949,-0.281,-0.076
5.930,0.2030,0.1921,-0.318,-0.113
5.963,0.1915,0.1877,-0.373,-0.160
5.997,0.1778,0.1812,-0.423,-0.205
6.030,0.1647,0.1751,-0.506,-0.281
6.063,0.1434,0.1636,-0.570,-0.388
6.097,0.1253,0.1482,-0.598,-0.471
6.130,0.1045,0.1316,-0.644,-0.530
6.163,0.08186,0.1123,-0.681,-0.569
6.197,0.05862,0.09290,-0.708,-0.588
6.230,0.03662,0.07479,-0.780,-0.648
6.263,0.005050,0.04934,-0.807,-0.698
6.297,-0.01930,0.02667,-0.774,-0.707
6.330,-0.04593,0.002455,-0.749,-0.716
6.363,-0.06922,-0.02095,-0.723,-0.722
6.397,-0.09363,-0.04634,-0.712,-0.712
6.430,-0.1163,-0.06925,-0.705,-0.671
6.463,-0.1421,-0.09069,-0.655,-0.634
6.497,-0.1614,-0.1132,-0.566,-0.555
6.530,-0.1790,-0.1271,-0.497,-0.491
6.563,-0.1937,-0.1439,-0.445,-0.475
6.597,-0.2094,-0.1610,-0.373,-0.404
6.630,-0.2188,-0.1703,-0.296,-0.345
6.663,-0.2290,-0.1844,-0.223,-0.273
6.697,-0.2334,-0.1892,-0.152,-0.181
6.730,-0.2384,-0.1952,-0.096,-0.117
6.763,-0.2423,-0.1984,0.025,-0.020
6.797,-0.2368,-0.1962,0.143,0.067
6.830,-0.2308,-0.1929,0.209,0.126
6.863,-0.2215,-0.1879,0.237,0.190
6.897,-0.2155,-0.1798,0.274,0.245
6.930,-0.2051,-0.1732,0.353,0.333
